[Thu May 14 01:03:18.561888 2020] [php7:error] [pid 6156:tid 2076] [client 127.0.0.1:62270] PHP Fatal error:  Could not delete queued timer in Unknown on line 0, referer: http://ppdb.ccom/dashboard/registrasi
[Thu May 28 22:55:22.530835 2020] [php7:error] [pid 3772:tid 2064] [client 127.0.0.1:49416] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in D:\\XAMPP\\htdocs\\laravel7\\vendor\\dompdf\\dompdf\\src\\Helpers.php on line 840
[Sun May 31 23:52:12.269431 2020] [php7:error] [pid 7144:tid 2056] [client 127.0.0.1:51232] PHP Fatal error:  Trait 'App\\makePdf' not found in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\RegistrationController.php on line 20
[Tue Jun 02 23:57:29.000472 2020] [php7:error] [pid 10808:tid 2072] [client 127.0.0.1:57672] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in D:\\XAMPP\\htdocs\\laravel7\\vendor\\dompdf\\dompdf\\src\\Helpers.php on line 840
[Wed Jun 03 10:06:01.963262 2020] [php7:error] [pid 10372:tid 2064] [client 127.0.0.1:54945] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in D:\\XAMPP\\htdocs\\laravel7\\vendor\\swiftmailer\\swiftmailer\\lib\\classes\\Swift\\Transport\\StreamBuffer.php on line 162
[Wed Jun 03 10:07:06.981496 2020] [php7:error] [pid 10372:tid 2064] [client 127.0.0.1:54957] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in D:\\XAMPP\\htdocs\\laravel7\\vendor\\swiftmailer\\swiftmailer\\lib\\classes\\Swift\\Transport\\StreamBuffer.php on line 162
[Sat Jun 06 12:25:31.756380 2020] [authz_core:error] [pid 5792:tid 2084] [client 86.56.242.161:39373] AH01630: client denied by server configuration: D:/XAMPP/phpMyAdmin/index.php
[Sun Jun 07 04:11:33.588740 2020] [php7:error] [pid 3932:tid 2064] [client 127.0.0.1:52536] PHP Fatal error:  Can't use method return value in write context in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\RegistrationController.php on line 163, referer: http://ppdb.ccom/input
[Sun Jun 07 04:12:42.322693 2020] [php7:error] [pid 3932:tid 2064] [client 127.0.0.1:52566] PHP Fatal error:  Can't use method return value in write context in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\RegistrationController.php on line 163, referer: http://ppdb.ccom/input
[Sun Jun 07 14:38:45.651324 2020] [authz_core:error] [pid 5196:tid 2036] [client 187.189.84.123:26030] AH01630: client denied by server configuration: D:/XAMPP/phpMyAdmin/index.php
[Mon Jun 08 11:59:19.270980 2020] [php7:error] [pid 10096:tid 2036] [client 127.0.0.1:54406] PHP Fatal error:  Cannot use [] for reading in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 70, referer: http://ppdb.ccom/input
[Mon Jun 08 11:59:19.270980 2020] [php7:error] [pid 10096:tid 2052] [client 127.0.0.1:54407] PHP Fatal error:  Cannot use [] for reading in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 70, referer: http://ppdb.ccom/input
[Mon Jun 08 11:59:22.046358 2020] [php7:error] [pid 10096:tid 2052] [client 127.0.0.1:54415] PHP Fatal error:  Cannot use [] for reading in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 70, referer: http://ppdb.ccom/input
[Mon Jun 08 11:59:22.110299 2020] [php7:error] [pid 10096:tid 2036] [client 127.0.0.1:54414] PHP Fatal error:  Cannot use [] for reading in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 70, referer: http://ppdb.ccom/input
[Mon Jun 08 11:59:22.439309 2020] [php7:error] [pid 10096:tid 2056] [client 127.0.0.1:54409] PHP Fatal error:  Cannot use [] for reading in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 70, referer: http://ppdb.ccom/input
[Mon Jun 08 11:59:22.459312 2020] [php7:error] [pid 10096:tid 2072] [client 127.0.0.1:54408] PHP Fatal error:  Cannot use [] for reading in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 70, referer: http://ppdb.ccom/input
[Mon Jun 08 11:59:22.529307 2020] [php7:error] [pid 10096:tid 2052] [client 127.0.0.1:54416] PHP Fatal error:  Cannot use [] for reading in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 70, referer: http://ppdb.ccom/input
[Mon Jun 08 11:59:22.563307 2020] [php7:error] [pid 10096:tid 2036] [client 127.0.0.1:54417] PHP Fatal error:  Cannot use [] for reading in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 70, referer: http://ppdb.ccom/input
[Mon Jun 08 11:59:22.682282 2020] [php7:error] [pid 10096:tid 2040] [client 127.0.0.1:54410] PHP Fatal error:  Cannot use [] for reading in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 70, referer: http://ppdb.ccom/input
[Mon Jun 08 11:59:23.014384 2020] [php7:error] [pid 10096:tid 2056] [client 127.0.0.1:54418] PHP Fatal error:  Cannot use [] for reading in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 70, referer: http://ppdb.ccom/input
[Mon Jun 08 11:59:23.108386 2020] [php7:error] [pid 10096:tid 2052] [client 127.0.0.1:54419] PHP Fatal error:  Cannot use [] for reading in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 70, referer: http://ppdb.ccom/input
[Mon Jun 08 11:59:23.127385 2020] [php7:error] [pid 10096:tid 2072] [client 127.0.0.1:54421] PHP Fatal error:  Cannot use [] for reading in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 70, referer: http://ppdb.ccom/input
[Mon Jun 08 11:59:23.167392 2020] [php7:error] [pid 10096:tid 2036] [client 127.0.0.1:54420] PHP Fatal error:  Cannot use [] for reading in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 70, referer: http://ppdb.ccom/input
[Mon Jun 08 11:59:27.236889 2020] [php7:error] [pid 10096:tid 2056] [client 127.0.0.1:54426] PHP Fatal error:  Cannot use [] for reading in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 72, referer: http://ppdb.ccom/input
[Mon Jun 08 11:59:27.262887 2020] [php7:error] [pid 10096:tid 2052] [client 127.0.0.1:54428] PHP Fatal error:  Cannot use [] for reading in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 72, referer: http://ppdb.ccom/input
[Mon Jun 08 11:59:27.403887 2020] [php7:error] [pid 10096:tid 2040] [client 127.0.0.1:54429] PHP Fatal error:  Cannot use [] for reading in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 72, referer: http://ppdb.ccom/input
[Mon Jun 08 11:59:51.332438 2020] [php7:error] [pid 10096:tid 2028] [client 127.0.0.1:54444] PHP Fatal error:  Cannot use [] for reading in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 72, referer: http://ppdb.ccom/input
[Mon Jun 08 12:00:24.664879 2020] [php7:error] [pid 10096:tid 2028] [client 127.0.0.1:54460] PHP Fatal error:  Cannot use [] for reading in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 72, referer: http://ppdb.ccom/input
[Tue Jun 09 23:10:36.576231 2020] [php7:error] [pid 7840:tid 2076] [client 127.0.0.1:58149] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 16384 bytes) in D:\\XAMPP\\htdocs\\laravel7\\vendor\\dompdf\\dompdf\\src\\Css\\Style.php on line 847
[Tue Jun 09 23:10:36.686224 2020] [php7:error] [pid 7840:tid 2076] [client 127.0.0.1:58149] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 32768 bytes) in D:\\XAMPP\\htdocs\\laravel7\\vendor\\laravel\\framework\\src\\Illuminate\\Foundation\\Exceptions\\Handler.php on line 458
[Tue Jun 09 23:12:00.744171 2020] [php7:error] [pid 7840:tid 2064] [client 127.0.0.1:58188] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 16384 bytes) in D:\\XAMPP\\htdocs\\laravel7\\vendor\\dompdf\\dompdf\\src\\Css\\Style.php on line 848
[Tue Jun 09 23:12:00.749169 2020] [php7:error] [pid 7840:tid 2064] [client 127.0.0.1:58188] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 32768 bytes) in D:\\XAMPP\\htdocs\\laravel7\\vendor\\symfony\\error-handler\\Error\\FatalError.php on line 1
[Tue Jun 09 23:12:45.973911 2020] [php7:error] [pid 7840:tid 2072] [client 127.0.0.1:58240] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 16384 bytes) in D:\\XAMPP\\htdocs\\laravel7\\vendor\\dompdf\\dompdf\\src\\Css\\Style.php on line 848
[Tue Jun 09 23:12:45.978874 2020] [php7:error] [pid 7840:tid 2072] [client 127.0.0.1:58240] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 32768 bytes) in D:\\XAMPP\\htdocs\\laravel7\\vendor\\symfony\\error-handler\\Error\\FatalError.php on line 1
[Tue Jun 09 23:16:05.978342 2020] [php7:error] [pid 7840:tid 2072] [client 127.0.0.1:58407] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 16384 bytes) in D:\\XAMPP\\htdocs\\laravel7\\vendor\\dompdf\\dompdf\\src\\Css\\Style.php on line 847
[Tue Jun 09 23:16:05.982343 2020] [php7:error] [pid 7840:tid 2072] [client 127.0.0.1:58407] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 65536 bytes) in D:\\XAMPP\\htdocs\\laravel7\\vendor\\symfony\\error-handler\\Error\\FatalError.php on line 88
[Thu Jun 11 08:51:00.709253 2020] [php7:error] [pid 2660:tid 2072] [client 127.0.0.1:54913] PHP Fatal error:  Maximum execution time of 3000 seconds exceeded in D:\\XAMPP\\htdocs\\laravel7\\vendor\\milon\\barcode\\src\\Milon\\Barcode\\DNS1D.php on line 2121
[Thu Jun 11 08:51:30.146453 2020] [php7:error] [pid 2660:tid 2064] [client 127.0.0.1:54916] PHP Fatal error:  Maximum execution time of 3000 seconds exceeded in D:\\XAMPP\\htdocs\\laravel7\\vendor\\milon\\barcode\\src\\Milon\\Barcode\\DNS1D.php on line 2121
[Thu Jun 11 08:52:13.445284 2020] [php7:error] [pid 2660:tid 2056] [client 127.0.0.1:54919] PHP Fatal error:  Maximum execution time of 3000 seconds exceeded in D:\\XAMPP\\htdocs\\laravel7\\vendor\\milon\\barcode\\src\\Milon\\Barcode\\DNS1D.php on line 2121
[Thu Jun 11 22:29:37.696946 2020] [php7:error] [pid 5984:tid 2036] [client 127.0.0.1:61227] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/index
[Thu Jun 11 22:29:37.733946 2020] [php7:error] [pid 5984:tid 2044] [client 127.0.0.1:61236] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/index
[Thu Jun 11 22:29:38.114946 2020] [php7:error] [pid 5984:tid 2056] [client 127.0.0.1:61233] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/index
[Thu Jun 11 22:29:38.181947 2020] [php7:error] [pid 5984:tid 2028] [client 127.0.0.1:61234] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/index
[Thu Jun 11 22:29:38.247945 2020] [php7:error] [pid 5984:tid 2064] [client 127.0.0.1:61232] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/index
[Thu Jun 11 22:29:38.342956 2020] [php7:error] [pid 5984:tid 2072] [client 127.0.0.1:61235] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/index
[Thu Jun 11 22:29:48.444200 2020] [php7:error] [pid 5984:tid 2044] [client 127.0.0.1:61241] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:48.444200 2020] [php7:error] [pid 5984:tid 2072] [client 127.0.0.1:61242] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:48.476200 2020] [php7:error] [pid 5984:tid 2064] [client 127.0.0.1:61243] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:48.512197 2020] [php7:error] [pid 5984:tid 2036] [client 127.0.0.1:61240] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:49.042199 2020] [php7:error] [pid 5984:tid 2044] [client 127.0.0.1:61244] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:50.891728 2020] [php7:error] [pid 5984:tid 2036] [client 127.0.0.1:61246] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:50.968988 2020] [php7:error] [pid 5984:tid 2064] [client 127.0.0.1:61247] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:51.286987 2020] [php7:error] [pid 5984:tid 2044] [client 127.0.0.1:61245] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:51.565737 2020] [php7:error] [pid 5984:tid 2036] [client 127.0.0.1:61249] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:51.616368 2020] [php7:error] [pid 5984:tid 2064] [client 127.0.0.1:61248] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:52.128090 2020] [php7:error] [pid 5984:tid 2044] [client 127.0.0.1:61250] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:52.269850 2020] [php7:error] [pid 5984:tid 2036] [client 127.0.0.1:61251] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:52.462187 2020] [php7:error] [pid 5984:tid 2064] [client 127.0.0.1:61252] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:52.654649 2020] [php7:error] [pid 5984:tid 2044] [client 127.0.0.1:61253] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:52.915965 2020] [php7:error] [pid 5984:tid 2036] [client 127.0.0.1:61254] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:53.049447 2020] [php7:error] [pid 5984:tid 2064] [client 127.0.0.1:61255] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:53.282347 2020] [php7:error] [pid 5984:tid 2044] [client 127.0.0.1:61256] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:53.464636 2020] [php7:error] [pid 5984:tid 2036] [client 127.0.0.1:61257] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:53.697411 2020] [php7:error] [pid 5984:tid 2064] [client 127.0.0.1:61258] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:53.887604 2020] [php7:error] [pid 5984:tid 2044] [client 127.0.0.1:61259] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:53.988846 2020] [php7:error] [pid 5984:tid 2036] [client 127.0.0.1:61260] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:54.293233 2020] [php7:error] [pid 5984:tid 2064] [client 127.0.0.1:61261] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:54.531527 2020] [php7:error] [pid 5984:tid 2044] [client 127.0.0.1:61262] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
